# Renewables.ninja Solar photovoltaic power (PV) (Point API) - 52.912, -1.186 - Version: 1.4 (gsee f9b6961) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in Europe/London, electricity in kW, irradiance_direct in unknown, irradiance_diffuse in unknown, temperature in ºC
# {"units": {"time": "UTC", "local_time": "Europe/London", "electricity": "kW", "irradiance_direct": "unknown", "irradiance_diffuse": "unknown", "temperature": "\u00baC"}, "params": {"local_time": "true", "header": "true", "lat": "52.91175422901093", "lon": "-1.1857268059210286", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "3.5", "system_loss": "0.1", "tracking": "0", "tilt": "35", "azim": "180", "raw": "true"}}
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2019-01-01 00:00,2019-01-01 00:00,0,0,0,7.203
2019-01-01 01:00,2019-01-01 01:00,0,0,0,7.468
2019-01-01 02:00,2019-01-01 02:00,0,0,0,7.594
2019-01-01 03:00,2019-01-01 03:00,0,0,0,7.780
2019-01-01 04:00,2019-01-01 04:00,0,0,0,7.851
2019-01-01 05:00,2019-01-01 05:00,0,0,0,7.893
2019-01-01 06:00,2019-01-01 06:00,0,0,0,7.743
2019-01-01 07:00,2019-01-01 07:00,0,0,0,7.371
2019-01-01 08:00,2019-01-01 08:00,0.006,0.010,0.008,7.005
2019-01-01 09:00,2019-01-01 09:00,0.325,0.076,0.049,7.476
2019-01-01 10:00,2019-01-01 10:00,0.772,0.190,0.076,7.861
2019-01-01 11:00,2019-01-01 11:00,1.467,0.433,0.070,8.138
2019-01-01 12:00,2019-01-01 12:00,1.548,0.466,0.065,8.205
2019-01-01 13:00,2019-01-01 13:00,1.316,0.387,0.061,7.933
2019-01-01 14:00,2019-01-01 14:00,0.789,0.222,0.049,7.029
2019-01-01 15:00,2019-01-01 15:00,0.147,0.052,0.014,4.593
2019-01-01 16:00,2019-01-01 16:00,0,0,0,3.038
2019-01-01 17:00,2019-01-01 17:00,0,0,0,2.434
2019-01-01 18:00,2019-01-01 18:00,0,0,0,1.766
2019-01-01 19:00,2019-01-01 19:00,0,0,0,1.262
2019-01-01 20:00,2019-01-01 20:00,0,0,0,0.723
2019-01-01 21:00,2019-01-01 21:00,0,0,0,0.176
2019-01-01 22:00,2019-01-01 22:00,0,0,0,-0.254
2019-01-01 23:00,2019-01-01 23:00,0,0,0,-0.551
2019-01-02 00:00,2019-01-02 00:00,0,0,0,-0.901
2019-01-02 01:00,2019-01-02 01:00,0,0,0,-1.105
2019-01-02 02:00,2019-01-02 02:00,0,0,0,-1.140
2019-01-02 03:00,2019-01-02 03:00,0,0,0,-1.023
2019-01-02 04:00,2019-01-02 04:00,0,0,0,-1.112
2019-01-02 05:00,2019-01-02 05:00,0,0,0,-1.092
2019-01-02 06:00,2019-01-02 06:00,0,0,0,-1.201
2019-01-02 07:00,2019-01-02 07:00,0,0,0,-1.350
2019-01-02 08:00,2019-01-02 08:00,0.034,0.018,0.009,-1.219
2019-01-02 09:00,2019-01-02 09:00,0.516,0.128,0.051,0.720
2019-01-02 10:00,2019-01-02 10:00,0.931,0.234,0.077,2.281
2019-01-02 11:00,2019-01-02 11:00,1.111,0.281,0.090,3.346
2019-01-02 12:00,2019-01-02 12:00,1.048,0.258,0.094,4.579
2019-01-02 13:00,2019-01-02 13:00,0.684,0.149,0.086,4.822
2019-01-02 14:00,2019-01-02 14:00,0.314,0.063,0.056,4.146
2019-01-02 15:00,2019-01-02 15:00,0.032,0.015,0.013,2.586
2019-01-02 16:00,2019-01-02 16:00,0,0,0,1.814
2019-01-02 17:00,2019-01-02 17:00,0,0,0,1.553
2019-01-02 18:00,2019-01-02 18:00,0,0,0,1.412
2019-01-02 19:00,2019-01-02 19:00,0,0,0,1.382
2019-01-02 20:00,2019-01-02 20:00,0,0,0,1.326
2019-01-02 21:00,2019-01-02 21:00,0,0,0,1.130
2019-01-02 22:00,2019-01-02 22:00,0,0,0,0.805
2019-01-02 23:00,2019-01-02 23:00,0,0,0,0.461
2019-01-03 00:00,2019-01-03 00:00,0,0,0,0.169
2019-01-03 01:00,2019-01-03 01:00,0,0,0,-0.066
2019-01-03 02:00,2019-01-03 02:00,0,0,0,-0.274
2019-01-03 03:00,2019-01-03 03:00,0,0,0,-0.476
2019-01-03 04:00,2019-01-03 04:00,0,0,0,-0.813
2019-01-03 05:00,2019-01-03 05:00,0,0,0,-0.967
2019-01-03 06:00,2019-01-03 06:00,0,0,0,-1.023
2019-01-03 07:00,2019-01-03 07:00,0,0,0,-0.697
2019-01-03 08:00,2019-01-03 08:00,0.031,0.018,0.009,-0.389
2019-01-03 09:00,2019-01-03 09:00,0.526,0.132,0.050,0.564
2019-01-03 10:00,2019-01-03 10:00,1.034,0.270,0.072,1.488
2019-01-03 11:00,2019-01-03 11:00,1.295,0.349,0.081,2.551
2019-01-03 12:00,2019-01-03 12:00,1.245,0.331,0.084,3.150
2019-01-03 13:00,2019-01-03 13:00,1.043,0.272,0.076,3.084
2019-01-03 14:00,2019-01-03 14:00,0.590,0.148,0.056,2.470
2019-01-03 15:00,2019-01-03 15:00,0.130,0.045,0.015,1.373
2019-01-03 16:00,2019-01-03 16:00,0,0,0,0.650
2019-01-03 17:00,2019-01-03 17:00,0,0,0,0.175
2019-01-03 18:00,2019-01-03 18:00,0,0,0,-0.170
2019-01-03 19:00,2019-01-03 19:00,0,0,0,-0.523
2019-01-03 20:00,2019-01-03 20:00,0,0,0,-0.957
2019-01-03 21:00,2019-01-03 21:00,0,0,0,-1.236
2019-01-03 22:00,2019-01-03 22:00,0,0,0,-1.571
2019-01-03 23:00,2019-01-03 23:00,0,0,0,-2.509
2019-01-04 00:00,2019-01-04 00:00,0,0,0,-2.945
2019-01-04 01:00,2019-01-04 01:00,0,0,0,-3.012
2019-01-04 02:00,2019-01-04 02:00,0,0,0,-2.971
2019-01-04 03:00,2019-01-04 03:00,0,0,0,-3.146
2019-01-04 04:00,2019-01-04 04:00,0,0,0,-3.372
2019-01-04 05:00,2019-01-04 05:00,0,0,0,-3.530
2019-01-04 06:00,2019-01-04 06:00,0,0,0,-3.577
2019-01-04 07:00,2019-01-04 07:00,0,0,0,-3.533
2019-01-04 08:00,2019-01-04 08:00,0.025,0.014,0.010,-2.978
2019-01-04 09:00,2019-01-04 09:00,0.260,0.049,0.051,-1.499
2019-01-04 10:00,2019-01-04 10:00,0.441,0.072,0.084,-0.522
2019-01-04 11:00,2019-01-04 11:00,0.529,0.082,0.101,0.467
2019-01-04 12:00,2019-01-04 12:00,0.527,0.081,0.102,1.334
2019-01-04 13:00,2019-01-04 13:00,0.612,0.119,0.091,1.861
2019-01-04 14:00,2019-01-04 14:00,0.467,0.103,0.061,1.520
