# Renewables.ninja Wind power (Point API) - 52.953, -1.150 - Version: 1.4 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068,,,,,,,,,,,,,
# Units: time in UTC, local_time in Europe/London, electricity in kW, wind_speed in m/s,,,,,,,,,,,
"# {""units"": {""time"": ""UTC"""," ""local_time"": ""Europe/London"""," ""electricity"": ""kW"""," ""wind_speed"": ""m/s""}"," ""params"": {""local_time"": ""true"""," ""header"": ""true"""," ""lat"": ""52.9534193"""," ""lon"": ""-1.1496461"""," ""date_from"": ""2019-01-01"""," ""date_to"": ""2019-12-31"""," ""dataset"": ""merra2"""," ""capacity"": ""1"""," ""height"": ""135"""," ""turbine"": ""Enercon E126 7500"""," ""raw"": ""true""}}"
time,local_time,electricity,wind_speed,,,,,,,,,,,
01/01/2019 00:00,01/01/2019 00:00,0.422,9.232,,,,,,,,,,,
01/01/2019 01:00,01/01/2019 01:00,0.406,9.09,,,,,,,,,,,
01/01/2019 02:00,01/01/2019 02:00,0.397,9.005,,,,,,,,,,,
01/01/2019 03:00,01/01/2019 03:00,0.416,9.181,,,,,,,,,,,
01/01/2019 04:00,01/01/2019 04:00,0.419,9.205,,,,,,,,,,,
01/01/2019 05:00,01/01/2019 05:00,0.437,9.373,,,,,,,,,,,
01/01/2019 06:00,01/01/2019 06:00,0.385,8.894,,,,,,,,,,,
01/01/2019 07:00,01/01/2019 07:00,0.375,8.801,,,,,,,,,,,
01/01/2019 08:00,01/01/2019 08:00,0.329,8.383,,,,,,,,,,,
01/01/2019 09:00,01/01/2019 09:00,0.242,7.504,,,,,,,,,,,
01/01/2019 10:00,01/01/2019 10:00,0.214,7.197,,,,,,,,,,,
01/01/2019 11:00,01/01/2019 11:00,0.238,7.471,,,,,,,,,,,
01/01/2019 12:00,01/01/2019 12:00,0.246,7.56,,,,,,,,,,,
01/01/2019 13:00,01/01/2019 13:00,0.223,7.306,,,,,,,,,,,
01/01/2019 14:00,01/01/2019 14:00,0.205,7.096,,,,,,,,,,,
01/01/2019 15:00,01/01/2019 15:00,0.249,7.59,,,,,,,,,,,
01/01/2019 16:00,01/01/2019 16:00,0.288,7.984,,,,,,,,,,,
01/01/2019 17:00,01/01/2019 17:00,0.289,7.999,,,,,,,,,,,
01/01/2019 18:00,01/01/2019 18:00,0.286,7.966,,,,,,,,,,,
01/01/2019 19:00,01/01/2019 19:00,0.3,8.099,,,,,,,,,,,
01/01/2019 20:00,01/01/2019 20:00,0.288,7.986,,,,,,,,,,,
01/01/2019 21:00,01/01/2019 21:00,0.265,7.754,,,,,,,,,,,
01/01/2019 22:00,01/01/2019 22:00,0.241,7.498,,,,,,,,,,,
01/01/2019 23:00,01/01/2019 23:00,0.216,7.23,,,,,,,,,,,
02/01/2019 00:00,02/01/2019 00:00,0.208,7.128,,,,,,,,,,,
02/01/2019 01:00,02/01/2019 01:00,0.2,7.034,,,,,,,,,,,
